tcc,lat,long,time_stamp,time_str,date,time
0.7681626,-93.5,41.5,2021-08-21 00:00:00,2021-08-21 00:00:00,2021-08-21,00:00:00
0.96230906,-93.5,41.5,2021-08-21 01:00:00,2021-08-21 01:00:00,2021-08-21,01:00:00
1.0,-93.5,41.5,2021-08-21 02:00:00,2021-08-21 02:00:00,2021-08-21,02:00:00
1.0,-93.5,41.5,2021-08-21 03:00:00,2021-08-21 03:00:00,2021-08-21,03:00:00
1.0,-93.5,41.5,2021-08-21 04:00:00,2021-08-21 04:00:00,2021-08-21,04:00:00
1.0,-93.5,41.5,2021-08-21 05:00:00,2021-08-21 05:00:00,2021-08-21,05:00:00
1.0,-93.5,41.5,2021-08-21 06:00:00,2021-08-21 06:00:00,2021-08-21,06:00:00
1.0,-93.5,41.5,2021-08-21 07:00:00,2021-08-21 07:00:00,2021-08-21,07:00:00
1.0,-93.5,41.5,2021-08-21 08:00:00,2021-08-21 08:00:00,2021-08-21,08:00:00
1.0,-93.5,41.5,2021-08-21 09:00:00,2021-08-21 09:00:00,2021-08-21,09:00:00
0.9821464,-93.5,41.5,2021-08-21 10:00:00,2021-08-21 10:00:00,2021-08-21,10:00:00
0.48960066,-93.5,41.5,2021-08-21 11:00:00,2021-08-21 11:00:00,2021-08-21,11:00:00
0.5444585,-93.5,41.5,2021-08-21 12:00:00,2021-08-21 12:00:00,2021-08-21,12:00:00
0.086063504,-93.5,41.5,2021-08-21 13:00:00,2021-08-21 13:00:00,2021-08-21,13:00:00
0.1349549,-93.5,41.5,2021-08-21 14:00:00,2021-08-21 14:00:00,2021-08-21,14:00:00
0.027772278,-93.5,41.5,2021-08-21 15:00:00,2021-08-21 15:00:00,2021-08-21,15:00:00
0.0,-93.5,41.5,2021-08-21 16:00:00,2021-08-21 16:00:00,2021-08-21,16:00:00
0.0,-93.5,41.5,2021-08-21 17:00:00,2021-08-21 17:00:00,2021-08-21,17:00:00
0.0,-93.5,41.5,2021-08-21 18:00:00,2021-08-21 18:00:00,2021-08-21,18:00:00
0.0017090738,-93.5,41.5,2021-08-21 19:00:00,2021-08-21 19:00:00,2021-08-21,19:00:00
0.0,-93.5,41.5,2021-08-21 20:00:00,2021-08-21 20:00:00,2021-08-21,20:00:00
0.0,-93.5,41.5,2021-08-21 21:00:00,2021-08-21 21:00:00,2021-08-21,21:00:00
0.0,-93.5,41.5,2021-08-21 22:00:00,2021-08-21 22:00:00,2021-08-21,22:00:00
0.0,-93.5,41.5,2021-08-21 23:00:00,2021-08-21 23:00:00,2021-08-21,23:00:00
